cellId,sliceId,testType,sampleCount,attempts,failureCount,intentSlipCount,filled
multi-mft-001,multi,MFT,8,8,0,0,True
multi-mft-002,multi,MFT,8,8,0,0,True
multi-mft-003,multi,MFT,8,8,0,0,True
multi-mft-004,multi,MFT,8,8,0,0,True
multi-mft-005,multi,MFT,8,8,0,0,True
multi-mft-006,multi,MFT,8,8,0,0,True
none-mft-001,none,MFT,8,8,0,0,True
none-mft-002,none,MFT,8,8,0,0,True
none-mft-003,none,MFT,8,8,0,0,True
none-mft-004,none,MFT,8,8,0,0,True
none-mft-005,none,MFT,8,8,0,0,True
notincatalog-mft-001,notInCatalog,MFT,8,8,0,0,True
notincatalog-mft-002,notInCatalog,MFT,8,8,0,0,True
notincatalog-mft-003,notInCatalog,MFT,8,8,0,0,True
notincatalog-mft-004,notInCatalog,MFT,8,8,0,0,True
notincatalog-mft-005,notInCatalog,MFT,8,8,0,0,True
single-inv-color-a1,single,INV,8,8,0,0,True
single-inv-color-a2,single,INV,8,8,0,0,True
single-inv-color-b1,single,INV,8,8,0,0,True
single-inv-color-b2,single,INV,8,8,0,0,True
single-inv-notation-a1,single,INV,8,8,0,0,True
single-inv-notation-a2,single,INV,8,8,0,0,True
single-inv-notation-b1,single,INV,8,8,0,0,True
single-inv-notation-b2,single,INV,8,8,0,0,True
single-mft-001,single,MFT,8,8,0,0,True
single-mft-002,single,MFT,8,8,0,0,True
single-mft-003,single,MFT,8,8,0,0,True
single-mft-004,single,MFT,8,8,0,0,True
single-mft-005,single,MFT,8,8,0,0,True
single-mft-006,single,MFT,8,8,0,0,True
single-mft-007,single,MFT,8,8,0,0,True
single-mft-008,single,MFT,8,8,0,0,True
single-mft-009,single,MFT,8,8,0,0,True
single-mft-010,single,MFT,8,9,0,1,True
single-mft-011,single,MFT,8,8,0,0,True
single-mft-012,single,MFT,8,8,0,0,True
single-mft-013,single,MFT,8,8,0,0,True
single-mft-014,single,MFT,8,8,0,0,True
