cellId,sampleIndex,legIndex,anchorKind,rank,canonical,distance
multi-mft-001,0,0,query,1,음향가전 > 이어폰,0.24118170860950428
multi-mft-001,0,0,query,2,음향가전 > 헤드폰,0.2754686310607998
multi-mft-001,0,0,query,3,음향가전 > 오디오,0.3271766109957319
multi-mft-001,0,0,query,4,게임 > 게임기 주변기기,0.33104095870012173
multi-mft-001,0,0,query,5,패션잡화 > 귀마개,0.33120822906493663
multi-mft-001,0,0,query,6,스마트기기 > 헬스케어,0.33468075577250056
multi-mft-001,0,0,query,7,컴퓨터 주변기기 > 게이밍 주변기기,0.33585963631512783
multi-mft-001,0,0,query,8,휴대폰 액세서리 > 케이스,0.33713791745078936
multi-mft-001,0,1,query,1,캠핑 > 텐트,0.2084141472782738
multi-mft-001,0,1,query,2,캠핑 > 텐트/타프 용품,0.24374196007943094
multi-mft-001,0,1,query,3,생활잡화 > 난방텐트,0.2582446028894607
multi-mft-001,0,1,query,4,아웃도어가구 > 기타 아웃도어가구,0.31996846438018
multi-mft-001,0,1,query,5,아웃도어가구 > 리퍼/전시/중고,0.33136870487108894
multi-mft-001,0,1,query,6,생활잡화 > 모기장,0.33587962366225965
multi-mft-001,0,1,query,7,등산/아웃도어 > 남아 아웃도어,0.33614317509098646
multi-mft-001,0,1,query,8,안전/보안용품 > 안전시설용품,0.33652081054200533
multi-mft-001,1,1,query,1,캠핑 > 텐트,0.2084141472782738
multi-mft-001,1,1,query,2,캠핑 > 텐트/타프 용품,0.24374196007943094
multi-mft-001,1,1,query,3,생활잡화 > 난방텐트,0.2582446028894607
multi-mft-001,1,1,query,4,아웃도어가구 > 기타 아웃도어가구,0.31996846438018
multi-mft-001,1,1,query,5,아웃도어가구 > 리퍼/전시/중고,0.33136870487108894
multi-mft-001,1,1,query,6,생활잡화 > 모기장,0.33587962366225965
multi-mft-001,1,1,query,7,등산/아웃도어 > 남아 아웃도어,0.33614317509098646
multi-mft-001,1,1,query,8,안전/보안용품 > 안전시설용품,0.33652081054200533
multi-mft-001,1,0,query,1,음향가전 > 이어폰,0.24118170860950428
multi-mft-001,1,0,query,2,음향가전 > 헤드폰,0.2754686310607998
multi-mft-001,1,0,query,3,음향가전 > 오디오,0.3271766109957319
multi-mft-001,1,0,query,4,게임 > 게임기 주변기기,0.33104095870012173
