cellId,sliceId,testType,sampleIndex,legs,unresolved,expansionLeaves,selectCalls,decomposeLegs,adoptedDistance,adoptedMargin,adoptedAnchorKind,dropReasons,latencyMs
multi-mft-001,multi,MFT,0,캠핑 > 텐트|텐트,무선 이어폰,음향가전 > 이어폰|무선 이어폰;음향가전 > 헤드폰|무선 이어폰;음향가전 > 오디오|무선 이어폰;게임 > 게임기 주변기기|무선 이어폰;패션잡화 > 귀마개|무선 이어폰;스마트기기 > 헬스케어|무선 이어폰;컴퓨터 주변기기 > 게이밍 주변기기|무선 이어폰;휴대폰 액세서리 > 케이스|무선 이어폰,0,|무선 이어폰;|텐트,0.2084,0.0353,query,category_distance_rejected,2918
multi-mft-001,multi,MFT,1,캠핑 > 텐트|텐트,무선 이어폰,음향가전 > 이어폰|무선 이어폰;음향가전 > 헤드폰|무선 이어폰;음향가전 > 오디오|무선 이어폰;게임 > 게임기 주변기기|무선 이어폰;패션잡화 > 귀마개|무선 이어폰;스마트기기 > 헬스케어|무선 이어폰;컴퓨터 주변기기 > 게이밍 주변기기|무선 이어폰;휴대폰 액세서리 > 케이스|무선 이어폰,0,|무선 이어폰;|텐트,0.2084,0.0353,query,category_distance_rejected,2764
multi-mft-001,multi,MFT,2,캠핑 > 텐트|텐트,무선 이어폰,음향가전 > 이어폰|무선 이어폰;음향가전 > 헤드폰|무선 이어폰;음향가전 > 오디오|무선 이어폰;게임 > 게임기 주변기기|무선 이어폰;패션잡화 > 귀마개|무선 이어폰;스마트기기 > 헬스케어|무선 이어폰;컴퓨터 주변기기 > 게이밍 주변기기|무선 이어폰;휴대폰 액세서리 > 케이스|무선 이어폰,0,|무선 이어폰;|텐트,0.2084,0.0353,query,category_distance_rejected,3942
multi-mft-001,multi,MFT,3,캠핑 > 텐트|텐트,무선 이어폰,음향가전 > 이어폰|무선 이어폰;음향가전 > 헤드폰|무선 이어폰;음향가전 > 오디오|무선 이어폰;게임 > 게임기 주변기기|무선 이어폰;패션잡화 > 귀마개|무선 이어폰;스마트기기 > 헬스케어|무선 이어폰;컴퓨터 주변기기 > 게이밍 주변기기|무선 이어폰;휴대폰 액세서리 > 케이스|무선 이어폰,0,|무선 이어폰;|텐트,0.2084,0.0353,query,category_distance_rejected,3633
multi-mft-001,multi,MFT,4,캠핑 > 텐트|텐트,무선 이어폰,음향가전 > 이어폰|무선 이어폰;음향가전 > 헤드폰|무선 이어폰;음향가전 > 오디오|무선 이어폰;게임 > 게임기 주변기기|무선 이어폰;패션잡화 > 귀마개|무선 이어폰;스마트기기 > 헬스케어|무선 이어폰;컴퓨터 주변기기 > 게이밍 주변기기|무선 이어폰;휴대폰 액세서리 > 케이스|무선 이어폰,0,|무선 이어폰;|텐트,0.2084,0.0353,query,category_distance_rejected,25770
multi-mft-001,multi,MFT,5,캠핑 > 텐트|텐트,무선 이어폰,음향가전 > 이어폰|무선 이어폰;음향가전 > 헤드폰|무선 이어폰;음향가전 > 오디오|무선 이어폰;게임 > 게임기 주변기기|무선 이어폰;패션잡화 > 귀마개|무선 이어폰;스마트기기 > 헬스케어|무선 이어폰;컴퓨터 주변기기 > 게이밍 주변기기|무선 이어폰;휴대폰 액세서리 > 케이스|무선 이어폰,0,|무선 이어폰;|텐트,0.2084,0.0353,query,category_distance_rejected,5551
multi-mft-001,multi,MFT,6,캠핑 > 텐트|텐트,무선 이어폰,음향가전 > 이어폰|무선 이어폰;음향가전 > 헤드폰|무선 이어폰;음향가전 > 오디오|무선 이어폰;게임 > 게임기 주변기기|무선 이어폰;패션잡화 > 귀마개|무선 이어폰;스마트기기 > 헬스케어|무선 이어폰;컴퓨터 주변기기 > 게이밍 주변기기|무선 이어폰;휴대폰 액세서리 > 케이스|무선 이어폰,0,|무선 이어폰;|텐트,0.2084,0.0353,query,category_distance_rejected,3995
multi-mft-001,multi,MFT,7,캠핑 > 텐트|텐트,무선 이어폰,음향가전 > 이어폰|무선 이어폰;음향가전 > 헤드폰|무선 이어폰;음향가전 > 오디오|무선 이어폰;게임 > 게임기 주변기기|무선 이어폰;패션잡화 > 귀마개|무선 이어폰;스마트기기 > 헬스케어|무선 이어폰;컴퓨터 주변기기 > 게이밍 주변기기|무선 이어폰;휴대폰 액세서리 > 케이스|무선 이어폰,0,|무선 이어폰;|텐트,0.2084,0.0353,query,category_distance_rejected,3625
multi-mft-002,multi,MFT,0,캐주얼/유니섹스 > 청바지|청바지,운동화,여성신발 > 운동화|운동화;남성신발 > 운동화|운동화;스포츠 신발 > 운동화/스니커즈|운동화;브랜드 여성신발 > 운동화|운동화;브랜드 남성신발 > 운동화|운동화;여성신발 > 스니커즈|운동화;남성신발 > 스니커즈|운동화;여성신발 > 기능화|운동화,2,|청바지;|운동화,0.2027,0.0075,query,category_distance_rejected,8645
multi-mft-002,multi,MFT,1,캐주얼/유니섹스 > 청바지|청바지,운동화,여성신발 > 운동화|운동화;남성신발 > 운동화|운동화;스포츠 신발 > 운동화/스니커즈|운동화;브랜드 여성신발 > 운동화|운동화;브랜드 남성신발 > 운동화|운동화;여성신발 > 스니커즈|운동화;남성신발 > 스니커즈|운동화;여성신발 > 기능화|운동화,2,|청바지;|운동화,0.2027,0.0075,query,category_distance_rejected,5418
