cellId,utteranceId,contextId,group,sampleIndex,intent,productId,optionId,quantity,case,scopedToPrevious,latencyMs
cart-control-001|lastRecommendations,cart-control-001,lastRecommendations,cart_control,0,cart_view,,,1,2,False,4569
cart-control-001|lastRecommendations,cart-control-001,lastRecommendations,cart_control,1,cart_view,,,1,2,False,2280
cart-control-001|lastRecommendations,cart-control-001,lastRecommendations,cart_control,2,cart_view,,,1,2,False,2353
cart-control-001|lastRecommendations,cart-control-001,lastRecommendations,cart_control,3,cart_view,,,1,2,False,2705
cart-control-001|lastRecommendations,cart-control-001,lastRecommendations,cart_control,4,cart_view,,,1,2,False,1736
cart-control-001|lastRecommendations,cart-control-001,lastRecommendations,cart_control,5,cart_view,,,1,2,False,1789
cart-control-001|lastRecommendations,cart-control-001,lastRecommendations,cart_control,6,cart_view,,,1,2,False,1788
cart-control-001|lastRecommendations,cart-control-001,lastRecommendations,cart_control,7,cart_view,,,1,2,False,2612
cart-control-001|none,cart-control-001,none,cart_control,0,cart_view,,,1,2,False,2037
cart-control-001|none,cart-control-001,none,cart_control,1,cart_view,,,1,2,False,2346
cart-control-001|none,cart-control-001,none,cart_control,2,cart_view,,,1,2,False,4571
cart-control-001|none,cart-control-001,none,cart_control,3,cart_view,,,1,2,False,2087
cart-control-001|none,cart-control-001,none,cart_control,4,cart_view,,,1,2,False,1686
cart-control-001|none,cart-control-001,none,cart_control,5,cart_view,,,1,2,False,2406
cart-control-001|none,cart-control-001,none,cart_control,6,cart_view,,,1,2,False,1695
cart-control-001|none,cart-control-001,none,cart_control,7,cart_view,,,1,2,False,1635
cart-control-001|pendingCart,cart-control-001,pendingCart,cart_control,0,cart_view,,,1,2,False,2184
cart-control-001|pendingCart,cart-control-001,pendingCart,cart_control,1,cart_view,102,,1,2,False,2978
cart-control-001|pendingCart,cart-control-001,pendingCart,cart_control,2,cart_view,,,1,2,False,3531
cart-control-001|pendingCart,cart-control-001,pendingCart,cart_control,3,cart_view,,,1,2,False,2121
cart-control-001|pendingCart,cart-control-001,pendingCart,cart_control,4,cart_view,,,1,2,False,1799
cart-control-001|pendingCart,cart-control-001,pendingCart,cart_control,5,cart_view,,,1,2,False,1844
cart-control-001|pendingCart,cart-control-001,pendingCart,cart_control,6,cart_view,,,1,2,False,1778
cart-control-001|pendingCart,cart-control-001,pendingCart,cart_control,7,cart_view,,,1,2,False,1712
cart-control-002|lastRecommendations,cart-control-002,lastRecommendations,cart_control,0,cart_view,,,1,2,False,2260
cart-control-002|lastRecommendations,cart-control-002,lastRecommendations,cart_control,1,cart_view,,,1,2,False,3009
cart-control-002|lastRecommendations,cart-control-002,lastRecommendations,cart_control,2,cart_view,,,1,2,False,2373
cart-control-002|lastRecommendations,cart-control-002,lastRecommendations,cart_control,3,cart_view,,,1,2,False,1732
cart-control-002|lastRecommendations,cart-control-002,lastRecommendations,cart_control,4,cart_view,,,1,2,False,1763
cart-control-002|lastRecommendations,cart-control-002,lastRecommendations,cart_control,5,cart_view,,,1,2,False,2601
cart-control-002|lastRecommendations,cart-control-002,lastRecommendations,cart_control,6,cart_view,,,1,2,False,1954
cart-control-002|lastRecommendations,cart-control-002,lastRecommendations,cart_control,7,cart_view,,,1,2,False,1721
cart-control-002|none,cart-control-002,none,cart_control,0,cart_view,,,1,2,False,2203
cart-control-002|none,cart-control-002,none,cart_control,1,cart_view,,,1,2,False,1809
cart-control-002|none,cart-control-002,none,cart_control,2,cart_view,,,1,2,False,2010
cart-control-002|none,cart-control-002,none,cart_control,3,cart_view,,,1,2,False,2526
cart-control-002|none,cart-control-002,none,cart_control,4,cart_view,,,1,2,False,35841
cart-control-002|none,cart-control-002,none,cart_control,5,cart_view,,,1,2,False,2155
cart-control-002|none,cart-control-002,none,cart_control,6,cart_view,,,1,2,False,3299
cart-control-002|none,cart-control-002,none,cart_control,7,cart_view,,,1,2,False,3383
cart-control-002|pendingCart,cart-control-002,pendingCart,cart_control,0,cart_view,,,1,2,False,2334
cart-control-002|pendingCart,cart-control-002,pendingCart,cart_control,1,cart_view,102,1002,1,2,False,1973
cart-control-002|pendingCart,cart-control-002,pendingCart,cart_control,2,cart_view,,,1,2,False,1857
cart-control-002|pendingCart,cart-control-002,pendingCart,cart_control,3,cart_view,,,1,2,False,36576
cart-control-002|pendingCart,cart-control-002,pendingCart,cart_control,4,cart_view,,,1,2,False,3079
cart-control-002|pendingCart,cart-control-002,pendingCart,cart_control,5,cart_view,,,1,2,False,2283
cart-control-002|pendingCart,cart-control-002,pendingCart,cart_control,6,cart_view,,,1,2,False,3632
cart-control-002|pendingCart,cart-control-002,pendingCart,cart_control,7,cart_view,,,1,2,False,1857
cart-control-003|lastRecommendations,cart-control-003,lastRecommendations,cart_control,0,cart_view,,,1,2,False,2308
cart-control-003|lastRecommendations,cart-control-003,lastRecommendations,cart_control,1,cart_view,,,1,2,False,2128
cart-control-003|lastRecommendations,cart-control-003,lastRecommendations,cart_control,2,cart_view,,,1,2,False,1842
cart-control-003|lastRecommendations,cart-control-003,lastRecommendations,cart_control,3,cart_view,,,1,2,False,37459
cart-control-003|lastRecommendations,cart-control-003,lastRecommendations,cart_control,4,cart_view,,,1,2,False,3565
cart-control-003|lastRecommendations,cart-control-003,lastRecommendations,cart_control,5,cart_view,,,1,2,False,2266
cart-control-003|lastRecommendations,cart-control-003,lastRecommendations,cart_control,6,cart_view,,,1,2,False,2847
cart-control-003|lastRecommendations,cart-control-003,lastRecommendations,cart_control,7,cart_view,,,1,2,False,1597
cart-control-003|none,cart-control-003,none,cart_control,0,cart_view,,,1,2,False,1853
