cellId,utteranceId,contextId,group,sampleCount,attempts,failureCount,filled
cart-control-001|lastRecommendations,cart-control-001,lastRecommendations,cart_control,8,8,0,True
cart-control-001|none,cart-control-001,none,cart_control,8,8,0,True
cart-control-001|pendingCart,cart-control-001,pendingCart,cart_control,8,8,0,True
cart-control-002|lastRecommendations,cart-control-002,lastRecommendations,cart_control,8,8,0,True
cart-control-002|none,cart-control-002,none,cart_control,8,8,0,True
cart-control-002|pendingCart,cart-control-002,pendingCart,cart_control,8,8,0,True
cart-control-003|lastRecommendations,cart-control-003,lastRecommendations,cart_control,8,8,0,True
cart-control-003|none,cart-control-003,none,cart_control,8,8,0,True
cart-control-003|pendingCart,cart-control-003,pendingCart,cart_control,8,8,0,True
cart-control-004|lastRecommendations,cart-control-004,lastRecommendations,cart_control,8,8,0,True
cart-control-004|none,cart-control-004,none,cart_control,8,8,0,True
cart-control-004|pendingCart,cart-control-004,pendingCart,cart_control,8,8,0,True
cart-control-005|lastRecommendations,cart-control-005,lastRecommendations,cart_control,8,8,0,True
cart-control-005|none,cart-control-005,none,cart_control,8,8,0,True
cart-control-005|pendingCart,cart-control-005,pendingCart,cart_control,8,8,0,True
cart-control-006|lastRecommendations,cart-control-006,lastRecommendations,cart_control,8,8,0,True
cart-control-006|none,cart-control-006,none,cart_control,8,8,0,True
cart-control-006|pendingCart,cart-control-006,pendingCart,cart_control,8,8,0,True
demonstrative-001|lastRecommendations,demonstrative-001,lastRecommendations,demonstrative,8,8,0,True
demonstrative-001|none,demonstrative-001,none,demonstrative,8,8,0,True
demonstrative-001|pendingCart,demonstrative-001,pendingCart,demonstrative,8,8,0,True
demonstrative-002|lastRecommendations,demonstrative-002,lastRecommendations,demonstrative,8,8,0,True
demonstrative-002|none,demonstrative-002,none,demonstrative,8,8,0,True
demonstrative-002|pendingCart,demonstrative-002,pendingCart,demonstrative,8,8,0,True
demonstrative-003|lastRecommendations,demonstrative-003,lastRecommendations,demonstrative,8,8,0,True
demonstrative-003|none,demonstrative-003,none,demonstrative,8,8,0,True
demonstrative-003|pendingCart,demonstrative-003,pendingCart,demonstrative,8,8,0,True
demonstrative-004|lastRecommendations,demonstrative-004,lastRecommendations,demonstrative,8,8,0,True
demonstrative-004|none,demonstrative-004,none,demonstrative,8,8,0,True
demonstrative-004|pendingCart,demonstrative-004,pendingCart,demonstrative,8,8,0,True
general-001|lastRecommendations,general-001,lastRecommendations,general,8,14,6,True
general-001|none,general-001,none,general,8,10,2,True
general-001|pendingCart,general-001,pendingCart,general,8,15,7,True
general-002|lastRecommendations,general-002,lastRecommendations,general,8,18,10,True
general-002|none,general-002,none,general,8,19,11,True
general-002|pendingCart,general-002,pendingCart,general,8,15,7,True
option-answer-001|pendingCart,option-answer-001,pendingCart,option_answer,8,14,6,True
option-answer-002|pendingCart,option-answer-002,pendingCart,option_answer,8,13,5,True
option-answer-003|pendingCart,option-answer-003,pendingCart,option_answer,8,14,6,True
option-answer-004|pendingCart,option-answer-004,pendingCart,option_answer,8,14,6,True
order-status-001|lastRecommendations,order-status-001,lastRecommendations,order_status,8,15,7,True
order-status-001|none,order-status-001,none,order_status,8,13,5,True
order-status-001|pendingCart,order-status-001,pendingCart,order_status,8,8,0,True
order-status-002|lastRecommendations,order-status-002,lastRecommendations,order_status,8,8,0,True
order-status-002|none,order-status-002,none,order_status,8,8,0,True
order-status-002|pendingCart,order-status-002,pendingCart,order_status,8,8,0,True
switch-001|pendingCart,switch-001,pendingCart,switch,8,8,0,True
switch-002|pendingCart,switch-002,pendingCart,switch,8,8,0,True
switch-003|pendingCart,switch-003,pendingCart,switch,8,8,0,True
switch-004|pendingCart,switch-004,pendingCart,switch,8,8,0,True
switch-005|pendingCart,switch-005,pendingCart,switch,8,8,0,True
switch-006|pendingCart,switch-006,pendingCart,switch,8,8,0,True
switch-007|pendingCart,switch-007,pendingCart,switch,8,8,0,True
