cellId,attempt,errorType,message
condition-only-001|none,8,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 4105. Please try again in 1.231s. Visit"
condition-only-001|none,9,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199665, Requested 4105. Please try again in 1.131s. Visit"
condition-only-001|none,10,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197704, Requested 4105. Please try again in 542ms. Visit "
condition-only-001|none,11,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198681, Requested 4105. Please try again in 835ms. Visit "
condition-only-002|none,8,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199695, Requested 4103. Please try again in 1.139s. Visit"
condition-only-002|none,9,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197906, Requested 4103. Please try again in 602ms. Visit "
condition-only-003|none,8,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198904, Requested 4103. Please try again in 902ms. Visit "
condition-only-003|none,9,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197944, Requested 4103. Please try again in 614ms. Visit "
condition-only-003|none,10,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198775, Requested 4103. Please try again in 863ms. Visit "
condition-only-003|none,11,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196258, Requested 4103. Please try again in 108ms. Visit "
condition-only-004|none,9,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199556, Requested 4104. Please try again in 1.098s. Visit"
condition-only-004|none,10,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198540, Requested 4104. Please try again in 793ms. Visit "
condition-only-005|none,22,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 4104. Please try again in 1.231s. Visit"
condition-only-005|none,23,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199674, Requested 4104. Please try again in 1.133s. Visit"
named-category-004|none,10,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199178, Requested 4109. Please try again in 986ms. Visit "
named-category-006|none,20,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196030, Requested 4105. Please try again in 40ms. Visit h"
