cellId,utteranceId,contextId,group,sampleIndex,intent,productId,optionId,quantity,case,scopedToPrevious,hasCategorySignal,scopeFree,categoryLegs,categoryLegInjected,categoryLegsEchoPrior,resolvedCategoryAction,resolvedProductId,screenResolverFired,screenResolutionReason,latencyMs
condition-only-001|none,condition-only-001,none,condition_only,0,recommend,,,1,2,False,False,,,False,False,carry,,False,,2883
condition-only-001|none,condition-only-001,none,condition_only,1,recommend,,,1,2,False,False,,,False,False,carry,,False,,2415
condition-only-001|none,condition-only-001,none,condition_only,2,recommend,,,1,2,False,False,,,False,False,carry,,False,,2124
condition-only-001|none,condition-only-001,none,condition_only,3,recommend,,,1,2,False,False,,,False,False,carry,,False,,2652
condition-only-001|none,condition-only-001,none,condition_only,4,recommend,,,1,2,False,False,,,False,False,carry,,False,,2494
condition-only-001|none,condition-only-001,none,condition_only,5,recommend,,,1,2,False,False,,,False,False,carry,,False,,2236
condition-only-001|none,condition-only-001,none,condition_only,6,recommend,,,1,2,False,False,,,False,False,carry,,False,,2183
condition-only-001|none,condition-only-001,none,condition_only,7,recommend,,,1,2,False,False,,,False,False,carry,,False,,31264
condition-only-001|none,condition-only-001,none,condition_only,8,recommend,,,1,2,False,False,,,False,False,carry,,False,,3011
condition-only-001|none,condition-only-001,none,condition_only,9,recommend,,,1,2,False,False,,,False,False,carry,,False,,2611
condition-only-001|none,condition-only-001,none,condition_only,10,recommend,,,1,2,False,False,,,False,False,carry,,False,,2450
condition-only-001|none,condition-only-001,none,condition_only,11,recommend,,,1,2,False,False,,,False,False,carry,,False,,2681
condition-only-001|none,condition-only-001,none,condition_only,12,recommend,,,1,2,False,False,,,False,False,carry,,False,,2949
condition-only-001|none,condition-only-001,none,condition_only,13,recommend,,,1,2,False,False,,,False,False,carry,,False,,2315
condition-only-001|none,condition-only-001,none,condition_only,14,recommend,,,1,2,False,False,,,False,False,carry,,False,,3164
condition-only-001|none,condition-only-001,none,condition_only,15,recommend,,,1,2,False,False,,,False,False,carry,,False,,2606
condition-only-001|none,condition-only-001,none,condition_only,16,recommend,,,1,2,False,False,,,False,False,carry,,False,,2437
condition-only-001|none,condition-only-001,none,condition_only,17,recommend,,,1,2,False,False,,,False,False,carry,,False,,3335
condition-only-001|none,condition-only-001,none,condition_only,18,recommend,,,1,2,False,False,,,False,False,carry,,False,,31017
condition-only-001|none,condition-only-001,none,condition_only,19,recommend,,,1,2,False,False,,,False,False,carry,,False,,3947
condition-only-001|none,condition-only-001,none,condition_only,20,recommend,,,1,2,False,False,,,False,False,carry,,False,,2562
condition-only-001|none,condition-only-001,none,condition_only,21,recommend,,,1,2,False,True,,|5만원 이하 아무거나,False,False,replace,,False,,2439
