cellId,attempt,errorType,message
condition-only-001|none,16,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198740, Requested 3543. Please try again in 684ms. Visit "
condition-only-001|none,18,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198948, Requested 3543. Please try again in 747ms. Visit "
condition-only-001|none,20,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198068, Requested 3543. Please try again in 483ms. Visit "
condition-only-001|none,21,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198683, Requested 3543. Please try again in 667ms. Visit "
condition-only-002|none,16,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197924, Requested 3541. Please try again in 439ms. Visit "
condition-only-002|none,18,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198613, Requested 3541. Please try again in 646ms. Visit "
condition-only-002|none,20,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198087, Requested 3541. Please try again in 488ms. Visit "
condition-only-002|none,21,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198758, Requested 3541. Please try again in 689ms. Visit "
condition-only-003|none,17,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3541. Please try again in 1.062s. Visit"
condition-only-003|none,18,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198746, Requested 3541. Please try again in 686ms. Visit "
condition-only-003|none,19,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199885, Requested 3541. Please try again in 1.027s. Visit"
condition-only-003|none,20,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197124, Requested 3541. Please try again in 199ms. Visit "
condition-only-003|none,22,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196820, Requested 3541. Please try again in 108ms. Visit "
condition-only-004|none,16,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197742, Requested 3542. Please try again in 385ms. Visit "
condition-only-004|none,18,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198455, Requested 3542. Please try again in 599ms. Visit "
condition-only-004|none,20,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3542. Please try again in 1.062s. Visit"
