cellId,utteranceId,contextId,group,sampleIndex,intent,productId,optionId,quantity,case,scopedToPrevious,hasCategorySignal,scopeFree,categoryLegs,categoryLegsEchoPrior,resolvedCategoryAction,resolvedProductId,screenResolverFired,screenResolutionReason,latencyMs
condition-only-001|none,condition-only-001,none,condition_only,0,recommend,,,1,2,False,False,,,False,carry,,False,,2483
condition-only-001|none,condition-only-001,none,condition_only,1,recommend,,,1,2,False,False,,,False,carry,,False,,1581
condition-only-001|none,condition-only-001,none,condition_only,2,recommend,,,1,2,False,False,,,False,carry,,False,,1692
condition-only-001|none,condition-only-001,none,condition_only,3,recommend,,,1,2,False,False,,,False,carry,,False,,1522
condition-only-001|none,condition-only-001,none,condition_only,4,recommend,,,1,2,False,False,,,False,carry,,False,,1600
condition-only-001|none,condition-only-001,none,condition_only,5,recommend,,,1,2,False,False,,,False,carry,,False,,1633
condition-only-001|none,condition-only-001,none,condition_only,6,recommend,,,1,2,False,False,,,False,carry,,False,,2091
condition-only-001|none,condition-only-001,none,condition_only,7,recommend,,,1,2,False,True,,|5만원 이하 아무거나,False,replace,,False,,1670
condition-only-001|none,condition-only-001,none,condition_only,8,recommend,,,1,2,False,False,,,False,carry,,False,,2215
condition-only-001|none,condition-only-001,none,condition_only,9,recommend,,,1,2,False,False,,,False,carry,,False,,1632
condition-only-001|none,condition-only-001,none,condition_only,10,recommend,,,1,2,False,False,,,False,carry,,False,,1665
condition-only-001|none,condition-only-001,none,condition_only,11,recommend,,,1,2,False,False,,,False,carry,,False,,1815
condition-only-001|none,condition-only-001,none,condition_only,12,recommend,,,1,2,False,False,,,False,carry,,False,,41410
condition-only-001|none,condition-only-001,none,condition_only,13,recommend,,,1,2,False,False,,,False,carry,,False,,1991
condition-only-001|none,condition-only-001,none,condition_only,14,recommend,,,1,2,False,False,,,False,carry,,False,,1740
condition-only-001|none,condition-only-001,none,condition_only,15,recommend,,,1,2,False,False,,,False,carry,,False,,1681
condition-only-001|none,condition-only-001,none,condition_only,16,recommend,,,1,2,False,False,,,False,carry,,False,,3851
condition-only-001|none,condition-only-001,none,condition_only,17,recommend,,,1,2,False,False,,,False,carry,,False,,2379
condition-only-001|none,condition-only-001,none,condition_only,18,recommend,,,1,2,False,False,,,False,carry,,False,,1669
condition-only-001|none,condition-only-001,none,condition_only,19,recommend,,,1,2,False,False,,,False,carry,,False,,1931
condition-only-001|none,condition-only-001,none,condition_only,20,recommend,,,1,2,False,False,,,False,carry,,False,,1720
condition-only-001|none,condition-only-001,none,condition_only,21,recommend,,,1,2,False,False,,,False,carry,,False,,1612
condition-only-001|none,condition-only-001,none,condition_only,22,recommend,,,1,2,False,False,,,False,carry,,False,,40845
condition-only-001|none,condition-only-001,none,condition_only,23,recommend,,,1,2,False,False,,,False,carry,,False,,1742
condition-only-002|none,condition-only-002,none,condition_only,0,recommend,,,1,2,False,False,,,False,carry,,False,,1708
condition-only-002|none,condition-only-002,none,condition_only,1,recommend,,,1,2,False,False,,,False,carry,,False,,1842
condition-only-002|none,condition-only-002,none,condition_only,2,recommend,,,1,2,False,False,,,False,carry,,False,,1714
condition-only-002|none,condition-only-002,none,condition_only,3,recommend,,,1,2,False,False,,,False,carry,,False,,1828
condition-only-002|none,condition-only-002,none,condition_only,4,recommend,,,1,2,False,False,,,False,carry,,False,,1784
condition-only-002|none,condition-only-002,none,condition_only,5,recommend,,,1,3,False,False,,,False,carry,,False,,2617
condition-only-002|none,condition-only-002,none,condition_only,6,recommend,,,1,2,False,False,,,False,carry,,False,,1634
condition-only-002|none,condition-only-002,none,condition_only,7,recommend,,,1,2,False,False,,,False,carry,,False,,1555
condition-only-002|none,condition-only-002,none,condition_only,8,recommend,,,1,2,False,False,,,False,carry,,False,,1546
condition-only-002|none,condition-only-002,none,condition_only,9,recommend,,,1,2,False,False,,,False,carry,,False,,1632
condition-only-002|none,condition-only-002,none,condition_only,10,recommend,,,1,2,False,False,,,False,carry,,False,,1712
condition-only-002|none,condition-only-002,none,condition_only,11,recommend,,,1,2,False,False,,,False,carry,,False,,41527
condition-only-002|none,condition-only-002,none,condition_only,12,recommend,,,1,2,False,False,,,False,carry,,False,,2316
condition-only-002|none,condition-only-002,none,condition_only,13,recommend,,,1,2,False,True,,|평점 좋은 상품,False,replace,,False,,2198
condition-only-002|none,condition-only-002,none,condition_only,14,recommend,,,1,2,False,False,,,False,carry,,False,,1708
condition-only-002|none,condition-only-002,none,condition_only,15,recommend,,,1,2,False,False,,,False,carry,,False,,1872
condition-only-002|none,condition-only-002,none,condition_only,16,recommend,,,1,2,False,False,,,False,carry,,False,,1867
condition-only-002|none,condition-only-002,none,condition_only,17,recommend,,,1,2,False,False,,,False,carry,,False,,1906
condition-only-002|none,condition-only-002,none,condition_only,18,recommend,,,1,2,False,False,,,False,carry,,False,,1835
condition-only-002|none,condition-only-002,none,condition_only,19,recommend,,,1,2,False,False,,,False,carry,,False,,1963
condition-only-002|none,condition-only-002,none,condition_only,20,recommend,,,1,2,False,False,,,False,carry,,False,,1581
condition-only-002|none,condition-only-002,none,condition_only,21,recommend,,,1,2,False,False,,,False,carry,,False,,1839
condition-only-002|none,condition-only-002,none,condition_only,22,recommend,,,1,2,False,False,,,False,carry,,False,,1735
condition-only-002|none,condition-only-002,none,condition_only,23,recommend,,,1,2,False,False,,,False,carry,,False,,40060
condition-only-003|none,condition-only-003,none,condition_only,0,recommend,,,1,3,False,False,,,False,carry,,False,,1807
condition-only-003|none,condition-only-003,none,condition_only,1,recommend,,,1,3,False,False,,,False,carry,,False,,1872
condition-only-003|none,condition-only-003,none,condition_only,2,recommend,,,1,3,False,False,,,False,carry,,False,,1903
condition-only-003|none,condition-only-003,none,condition_only,3,recommend,,,1,3,False,False,,,False,carry,,False,,1814
condition-only-003|none,condition-only-003,none,condition_only,4,recommend,,,1,3,False,False,,,False,carry,,False,,2250
condition-only-003|none,condition-only-003,none,condition_only,5,recommend,,,1,3,False,False,,,False,carry,,False,,1572
condition-only-003|none,condition-only-003,none,condition_only,6,recommend,,,1,3,False,False,,,False,carry,,False,,1658
condition-only-003|none,condition-only-003,none,condition_only,7,recommend,,,1,3,False,False,,,False,carry,,False,,1867
condition-only-003|none,condition-only-003,none,condition_only,8,recommend,,,1,3,False,False,,,False,carry,,False,,1808
condition-only-003|none,condition-only-003,none,condition_only,9,recommend,,,1,3,False,True,,|인기 많은 거,False,replace,,False,,2670
condition-only-003|none,condition-only-003,none,condition_only,10,recommend,,,1,3,False,False,,,False,carry,,False,,1646
condition-only-003|none,condition-only-003,none,condition_only,11,recommend,,,1,3,False,False,,,False,carry,,False,,40923
condition-only-003|none,condition-only-003,none,condition_only,12,recommend,,,1,3,False,False,,,False,carry,,False,,1777
condition-only-003|none,condition-only-003,none,condition_only,13,recommend,,,1,3,False,False,,,False,carry,,False,,2374
condition-only-003|none,condition-only-003,none,condition_only,14,recommend,,,1,3,False,False,,,False,carry,,False,,1867
condition-only-003|none,condition-only-003,none,condition_only,15,recommend,,,1,3,False,False,,,False,carry,,False,,1648
condition-only-003|none,condition-only-003,none,condition_only,16,recommend,,,1,3,False,False,,,False,carry,,False,,1931
condition-only-003|none,condition-only-003,none,condition_only,17,recommend,,,1,3,False,False,,,False,carry,,False,,1805
condition-only-003|none,condition-only-003,none,condition_only,18,recommend,,,1,3,False,False,,,False,carry,,False,,1766
condition-only-003|none,condition-only-003,none,condition_only,19,recommend,,,1,3,False,False,,,False,carry,,False,,1606
condition-only-003|none,condition-only-003,none,condition_only,20,recommend,,,1,3,False,False,,,False,carry,,False,,1607
condition-only-003|none,condition-only-003,none,condition_only,21,recommend,,,1,3,False,False,,,False,carry,,False,,1723
condition-only-003|none,condition-only-003,none,condition_only,22,recommend,,,1,3,False,False,,,False,carry,,False,,1776
condition-only-003|none,condition-only-003,none,condition_only,23,recommend,,,1,3,False,False,,,False,carry,,False,,40221
condition-only-004|none,condition-only-004,none,condition_only,0,recommend,,,1,3,False,False,,,False,carry,,False,,2116
condition-only-004|none,condition-only-004,none,condition_only,1,recommend,,,1,2,False,False,,,False,carry,,False,,2074
condition-only-004|none,condition-only-004,none,condition_only,2,recommend,,,1,3,False,False,,,False,carry,,False,,2149
condition-only-004|none,condition-only-004,none,condition_only,3,recommend,,,1,2,False,False,,,False,carry,,False,,1514
condition-only-004|none,condition-only-004,none,condition_only,4,recommend,,,1,3,False,False,,,False,carry,,False,,1813
condition-only-004|none,condition-only-004,none,condition_only,5,recommend,,,1,2,False,False,,,False,carry,,False,,1768
condition-only-004|none,condition-only-004,none,condition_only,6,recommend,,,1,3,False,False,,,False,carry,,False,,1844
condition-only-004|none,condition-only-004,none,condition_only,7,recommend,,,1,3,False,False,,,False,carry,,False,,1515
condition-only-004|none,condition-only-004,none,condition_only,8,recommend,,,1,2,False,False,,,False,carry,,False,,1964
condition-only-004|none,condition-only-004,none,condition_only,9,recommend,,,1,2,False,False,,,False,carry,,False,,1708
condition-only-004|none,condition-only-004,none,condition_only,10,recommend,,,1,3,False,False,,,False,carry,,False,,1953
condition-only-004|none,condition-only-004,none,condition_only,11,recommend,,,1,2,False,False,,,False,carry,,False,,41933
condition-only-004|none,condition-only-004,none,condition_only,12,recommend,,,1,2,False,False,,,False,carry,,False,,2012
condition-only-004|none,condition-only-004,none,condition_only,13,recommend,,,1,2,False,False,,,False,carry,,False,,1672
condition-only-004|none,condition-only-004,none,condition_only,14,recommend,,,1,2,False,False,,,False,carry,,False,,2289
condition-only-004|none,condition-only-004,none,condition_only,15,recommend,,,1,2,False,False,,,False,carry,,False,,2013
condition-only-004|none,condition-only-004,none,condition_only,16,recommend,,,1,2,False,False,,,False,carry,,False,,1792
