cellId,attempt,errorType,message
condition-only-005|none,10,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,11,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,13,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,14,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,15,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196526, Requested 3575. Please try again in 30ms. Visit h"
condition-only-005|none,16,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196784, Requested 3575. Please try again in 107ms. Visit "
condition-only-005|none,17,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198181, Requested 3575. Please try again in 526ms. Visit "
condition-only-005|none,18,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198777, Requested 3575. Please try again in 705ms. Visit "
condition-only-005|none,19,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198408, Requested 3575. Please try again in 594ms. Visit "
condition-only-005|none,21,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197388, Requested 3575. Please try again in 288ms. Visit "
condition-only-005|none,22,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197933, Requested 3575. Please try again in 452ms. Visit "
condition-only-005|none,24,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,26,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,27,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,28,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196654, Requested 3575. Please try again in 68ms. Visit h"
condition-only-005|none,29,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198820, Requested 3575. Please try again in 718ms. Visit "
condition-only-005|none,30,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196804, Requested 3575. Please try again in 113ms. Visit "
condition-only-005|none,33,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198338, Requested 3575. Please try again in 573ms. Visit "
condition-only-005|none,34,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,35,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198203, Requested 3575. Please try again in 533ms. Visit "
condition-only-005|none,36,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199013, Requested 3575. Please try again in 776ms. Visit "
condition-only-005|none,38,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,39,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199802, Requested 3575. Please try again in 1.013s. Visit"
condition-only-005|none,41,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,43,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199871, Requested 3575. Please try again in 1.033s. Visit"
condition-only-005|none,44,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197344, Requested 3575. Please try again in 275ms. Visit "
condition-only-005|none,45,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,47,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,48,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196721, Requested 3575. Please try again in 88ms. Visit h"
condition-only-005|none,50,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,51,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197048, Requested 3575. Please try again in 186ms. Visit "
condition-only-005|none,53,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,55,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197852, Requested 3575. Please try again in 428ms. Visit "
condition-only-005|none,57,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199254, Requested 3575. Please try again in 848ms. Visit "
condition-only-005|none,58,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198964, Requested 3575. Please try again in 761ms. Visit "
condition-only-005|none,59,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 3575. Please try again in 1.072s. Visit"
condition-only-005|none,60,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197715, Requested 3575. Please try again in 387ms. Visit "
condition-only-005|none,61,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197386, Requested 3575. Please try again in 288ms. Visit "
