cellId,attempt,errorType,message
option-answer-002|pendingCart,3,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198261, Requested 4234. Please try again in 748ms. Visit "
option-answer-002|pendingCart,4,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 4234. Please try again in 1.27s. Visit "
order-status-001|none,5,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 4136. Please try again in 1.24s. Visit "
order-status-001|pendingCart,4,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198833, Requested 4239. Please try again in 921ms. Visit "
order-status-001|pendingCart,5,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199182, Requested 4239. Please try again in 1.026s. Visit"
order-status-002|pendingCart,7,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196095, Requested 4237. Please try again in 99ms. Visit h"
screen-001|screenSingle,7,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 195703, Requested 4347. Please try again in 15ms. Visit h"
screen-002|screenTriple,6,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196338, Requested 4393. Please try again in 219ms. Visit "
screen-006|screenTriple,8,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198690, Requested 4392. Please try again in 924ms. Visit "
switch-001|pendingCart,7,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198858, Requested 4237. Please try again in 928ms. Visit "
switch-002|pendingCart,1,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199194, Requested 4236. Please try again in 1.029s. Visit"
switch-003|pendingCart,1,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198125, Requested 4240. Please try again in 709ms. Visit "
switch-007|pendingCart,3,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 4238. Please try again in 1.271s. Visit"
wishlist-remove-002|none,2,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198840, Requested 4134. Please try again in 892ms. Visit "
