cellId,attempt,errorType,message
cart-control-002|none,3,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198130, Requested 4102. Please try again in 669ms. Visit "
cart-control-002|none,4,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197151, Requested 4102. Please try again in 375ms. Visit "
cart-control-002|pendingCart,3,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198699, Requested 4206. Please try again in 871ms. Visit "
cart-control-002|pendingCart,4,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198360, Requested 4206. Please try again in 769ms. Visit "
cart-control-003|lastRecommendations,2,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198860, Requested 4179. Please try again in 911ms. Visit "
cart-control-003|lastRecommendations,3,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197903, Requested 4179. Please try again in 624ms. Visit "
cart-control-006|none,2,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197382, Requested 4099. Please try again in 444ms. Visit "
cart-quantity-003|none,5,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 4102. Please try again in 1.23s. Visit "
cart-quantity-004|none,5,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199971, Requested 4100. Please try again in 1.221s. Visit"
switch-006|pendingCart,6,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196099, Requested 4206. Please try again in 91ms. Visit h"
switch-006|pendingCart,7,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 195862, Requested 4206. Please try again in 20ms. Visit h"
wishlist-view-003|none,1,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197814, Requested 4102. Please try again in 574ms. Visit "
