cellId,attempt,errorType,message
screen-005|screenNamed,8,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199719, Requested 4572. Please try again in 1.287s. Visit"
screen-006|screenTriple,3,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197595, Requested 4545. Please try again in 642ms. Visit "
switch-001|pendingCart,3,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 195895, Requested 4237. Please try again in 39ms. Visit h"
switch-002|pendingCart,1,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198984, Requested 4236. Please try again in 966ms. Visit "
switch-002|pendingCart,2,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196869, Requested 4236. Please try again in 331ms. Visit "
switch-004|pendingCart,5,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196043, Requested 4240. Please try again in 84ms. Visit h"
switch-004|pendingCart,6,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199215, Requested 4240. Please try again in 1.036s. Visit"
switch-005|pendingCart,5,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 4238. Please try again in 1.271s. Visit"
switch-007|pendingCart,3,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197429, Requested 4238. Please try again in 500ms. Visit "
wishlist-remove-004|none,5,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 4134. Please try again in 1.24s. Visit "
wishlist-view-001|none,1,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199053, Requested 4133. Please try again in 955ms. Visit "
wishlist-view-004|none,7,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199104, Requested 4130. Please try again in 970ms. Visit "
wishlist-view-004|none,8,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197345, Requested 4130. Please try again in 442ms. Visit "
