cellId,caseId,slice,sampleCount,attempts,failureCount,filled
buy-cold-0002,buy-cold-0002,single,8,8,0,True
buy-fail-0003,buy-fail-0003,single,8,8,0,True
buy-gust-0001,buy-gust-0001,single,8,8,0,True
buy-mult-0002,buy-mult-0002,single,8,8,0,True
buy-srch-0001,buy-srch-0001,situational,8,8,0,True
buy-srch-0002,buy-srch-0002,single,8,8,0,True
buy-srch-0003,buy-srch-0003,single,8,8,0,True
buy-srch-0004,buy-srch-0004,single,8,8,0,True
legs-cond-0001,legs-cond-0001,conditions,8,8,0,True
legs-cond-0002,legs-cond-0002,conditions,8,8,0,True
legs-cond-0003,legs-cond-0003,conditions,8,8,0,True
legs-cond-0004,legs-cond-0004,conditions,8,8,0,True
legs-cond-0005,legs-cond-0005,conditions,8,8,0,True
legs-mult-0001,legs-mult-0001,multi,8,8,0,True
legs-mult-0002,legs-mult-0002,multi,8,8,0,True
legs-mult-0003,legs-mult-0003,multi,8,8,0,True
legs-mult-0004,legs-mult-0004,multi,8,8,0,True
legs-mult-0005,legs-mult-0005,multi,8,8,0,True
legs-purp-0001,legs-purp-0001,purpose,8,8,0,True
legs-purp-0002,legs-purp-0002,purpose,8,8,0,True
legs-purp-0003,legs-purp-0003,purpose,8,8,0,True
legs-purp-0004,legs-purp-0004,purpose,8,8,0,True
legs-purp-0005,legs-purp-0005,purpose,8,8,0,True
legs-purp-0006,legs-purp-0006,purpose,8,8,0,True
legs-purp-0007,legs-purp-0007,purpose,8,8,0,True
legs-purp-0008,legs-purp-0008,purpose,8,8,0,True
legs-purp-0009,legs-purp-0009,purpose,8,8,0,True
legs-single-0001,legs-single-0001,single,8,8,0,True
legs-single-0002,legs-single-0002,single,8,8,0,True
legs-situ-0001,legs-situ-0001,situational,8,8,0,True
legs-situ-0002,legs-situ-0002,situational,8,8,0,True
legs-situ-0003,legs-situ-0003,situational,8,8,0,True
legs-situ-0004,legs-situ-0004,situational,8,8,0,True
legs-situ-0005,legs-situ-0005,situational,8,8,0,True
legs-situ-0006,legs-situ-0006,situational,8,8,0,True
legs-situ-0007,legs-situ-0007,situational,8,8,0,True
legs-situ-0008,legs-situ-0008,situational,8,8,0,True
legs-situ-0009,legs-situ-0009,situational,8,8,0,True
legs-situ-0010,legs-situ-0010,situational,8,8,0,True
