correlationId,callSite,tier,model,inputTokens,outputTokens,reasoningTokens,cacheTokens,usageSource,costUsd,latencyMs,error
68ee83a2-9f75-4a8c-950a-7a99308b70f7,decompose,fast,gpt-5-nano,3049,192,0,2944,usage_metadata,0.00022925000000000002,2617,
8cded8d1-085b-4d62-a0fc-d7d90f71971c,rerank,smart,gpt-5.6-luna,1900,880,512,1897,usage_metadata,0.001436,6733,
cee86b14-754a-4123-9f17-863b8efaac9d,decompose,fast,gpt-5-nano,3049,207,0,2816,usage_metadata,0.00023525000000000003,3000,
beaf6772-54b0-4c24-9899-0f501a6d90f0,rerank,smart,gpt-5.6-luna,684,142,61,0,usage_metadata,0.00030720000000000004,1896,
b9676cd6-4d40-44c8-84d2-5132663b17c5,decompose,fast,gpt-5-nano,3049,190,0,0,usage_metadata,0.00022845,2866,
774e92d1-dce6-41f6-8665-b1ffb31d79d4,decompose,fast,gpt-5-nano,3050,162,0,2944,usage_metadata,0.0002173,2587,
2f3f7565-6a5b-4aa8-bfc5-9c6ed581a697,decompose,fast,gpt-5-nano,3046,183,0,2944,usage_metadata,0.00022550000000000003,2641,
8fb38efc-fe75-4668-8674-74968e9a666d,decompose,fast,gpt-5-nano,3045,224,0,2944,usage_metadata,0.00024185,2682,
c0ba60bb-50fa-4336-9859-76223480b3e5,rerank,smart,gpt-5.6-luna,688,144,79,0,usage_metadata,0.0003104,2152,
8f7cf6ad-2df4-4a68-aca8-c0fa48e006d8,decompose,fast,gpt-5-nano,3049,190,0,2944,usage_metadata,0.00022845,2538,
253fb12f-2d5d-46e4-9138-fbd6ec6fd93e,rerank,smart,gpt-5.6-luna,681,266,184,0,usage_metadata,0.0004554,2946,
f6808295-9a0d-4967-b2fc-fdc1c8165f80,decompose,fast,gpt-5-nano,3048,222,0,2944,usage_metadata,0.00024120000000000004,2971,
f3b27da1-1295-45b6-afd2-25b4ebd06fed,rerank,smart,gpt-5.6-luna,781,226,105,0,usage_metadata,0.0004274,2443,
3a59e24f-eb7f-4e8a-a08a-70741d53a6c5,decompose,fast,gpt-5-nano,3052,188,0,2944,usage_metadata,0.0002278,2713,
a9c18036-625b-4466-86bf-40e218c1beff,decompose,fast,gpt-5-nano,3054,192,0,2944,usage_metadata,0.00022950000000000002,2622,
d1f74568-0b86-4c21-b24e-4f2d4835abac,decompose,fast,gpt-5-nano,3047,209,0,2944,usage_metadata,0.00023595000000000002,3474,
a1fc2ce9-0e88-4cbe-8cb0-179a12577e85,decompose,fast,gpt-5-nano,3048,181,0,2944,usage_metadata,0.0002248,2473,
7f473feb-7110-4d26-89d9-53414fb01998,rerank,smart,gpt-5.6-luna,705,102,38,0,usage_metadata,0.0002634,2132,
a3668377-8bf4-4213-8218-c494f63aa75f,decompose,fast,gpt-5-nano,3046,175,0,2944,usage_metadata,0.00022230000000000004,2732,
