cellId,sampleIndex,needs,expectedPriorities,priorities,legMismatch,latencyMs
camping,0,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;1;1,False,1106
camping,1,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;2;1;2,False,1167
camping,2,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;1;2,False,1375
camping,3,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;2;2,False,983
camping,4,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;2;2,False,895
camping,5,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;2;2,False,833
camping,6,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;2;2,False,770
camping,7,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;1;2,False,862
cycling,0,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;1,False,857
cycling,1,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;3,False,800
cycling,2,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;1,False,960
cycling,3,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;2,False,50243
cycling,4,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;2,False,1041
cycling,5,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;1,False,905
cycling,6,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;1,False,1130
cycling,7,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;1,False,1105
gimbap,0,김밥용 김;단무지,1;3,1;1,False,1029
gimbap,1,김밥용 김;단무지,1;3,1;1,False,993
gimbap,2,김밥용 김;단무지,1;3,1;1,False,983
gimbap,3,김밥용 김;단무지,1;3,1;1,False,984
gimbap,4,김밥용 김;단무지,1;3,1;2,False,960
gimbap,5,김밥용 김;단무지,1;3,1;2,False,1060
gimbap,6,김밥용 김;단무지,1;3,1;1,False,881
gimbap,7,김밥용 김;단무지,1;3,1;1,False,773
gym_start,0,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,822
gym_start,1,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,938
gym_start,2,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,815
gym_start,3,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,732
gym_start,4,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,49910
gym_start,5,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,1209
gym_start,6,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,985
gym_start,7,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,1359
hiking,0,등산화;등산 스틱;방한 장갑,1;2;3,1;2;1,False,976
hiking,1,등산화;등산 스틱;방한 장갑,1;2;3,1;2;3,False,827
