cellId,sampleIndex,needs,expectedPriorities,priorities,prioritiesByIndex,rawLegs,lengthMismatch,latencyMs
camping,0,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::가성비 좋은 생활용품::2,True,1956
camping,1,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::캠핑 생활용품::2,True,1914
camping,2,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::생활용품::2,True,2037
camping,3,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::캠핑 필수 아이템::2,True,2420
camping,4,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::생활용품 캠핑 준비물::2,True,2364
camping,5,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::캠핑 생활용품::2 | ::1박 2일 캠핑 필수품::1,True,2167
camping,6,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::생활용품 캠핑 필수::1,True,2658
camping,7,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::캠핑 필수 아이템::2,True,2256
cycling,0,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거 용품::2,True,2156
cycling,1,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거 용품::2,True,2358
cycling,2,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거 관련 생활용품::2,True,2106
cycling,3,자전거 헬멧;장갑;후미 안전등,1;2;3,1;;,2;3;1,::자전거 액세서리::2 | ::자전거 의류::3 | ::자전거 헬멧::1,False,37301
cycling,4,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거 관리/라이프스타일 용품::2,True,2390
cycling,5,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거 관련 생활용품::2,True,1896
cycling,6,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거 용품::2,True,1837
cycling,7,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거 용품::2,True,2808
gimbap,0,김밥용 김;단무지,1;3,;,,::::1,True,2095
gimbap,1,김밥용 김;단무지,1;3,;,,::가성비 생활용품::2,True,2076
gimbap,2,김밥용 김;단무지,1;3,;,,::가성비 생활용품::2,True,2353
gimbap,3,김밥용 김;단무지,1;3,;,,::가성비 생활용품::2,True,2175
gimbap,4,김밥용 김;단무지,1;3,;,,::생활용품::2,True,2120
gimbap,5,김밥용 김;단무지,1;3,;,,::생활용품::2,True,2671
gimbap,6,김밥용 김;단무지,1;3,;,,::생활용품::2,True,2232
gimbap,7,김밥용 김;단무지,1;3,;,,::생활용품::2,True,2006
gym_start,0,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::헬스장 처음 등록했는데 필요한 물건::2,True,2034
gym_start,1,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::가성비 좋은 생활용품 추천::2,True,2117
gym_start,2,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::생활용품::2,True,1998
gym_start,3,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::생활용품 가성비 추천::2,True,2380
gym_start,4,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::생활용품::2,True,35695
gym_start,5,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::가성비 좋은 생활용품::2,True,2510
gym_start,6,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::가성비 생활용품::2,True,1939
gym_start,7,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::가성비 생활용품::2,True,2089
hiking,0,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::등산 용품::2,True,2608
hiking,1,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::등산용품::2,True,1932
hiking,2,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::생활용품 등산용 필수 아이템::2,True,1960
hiking,3,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::등산용품::1 | ::캠핑/아웃도어 필수품::2,True,2721
hiking,4,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::등산용품::2,True,2046
hiking,5,등산화;등산 스틱;방한 장갑,1;2;3,;;,2;2;3,::등산 가방 및 필수 용품::2 | ::휴대용 물통/보틀::2 | ::경량 우의/방수 재킷::3,False,2621
hiking,6,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::등산 용품::2,True,36467
hiking,7,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::등산 용품::2,True,2423
home_cafe,0,원두;드리퍼;온도계,1;2;3,;;,,::저렴한 생활용품::2,True,1962
home_cafe,1,원두;드리퍼;온도계,1;2;3,;;,,::가성비 생활용품 세트::2,True,2013
home_cafe,2,원두;드리퍼;온도계,1;2;3,;;,,::다용도 생활용품::1,True,2155
home_cafe,3,원두;드리퍼;온도계,1;2;3,;;,,,True,37887
home_cafe,4,원두;드리퍼;온도계,1;2;3,;;,,::가성비 커피 추출/제조 용품::2,True,2066
home_cafe,5,원두;드리퍼;온도계,1;2;3,;;,,::가성비 생활용품::1,True,2056
home_cafe,6,원두;드리퍼;온도계,1;2;3,;;,,::가성비 생활용품 커피 준비물::2,True,2203
home_cafe,7,원두;드리퍼;온도계,1;2;3,;;,,::가성비 생활용품 세트::2,True,2197
kitten,0,사료;화장실 모래;장난감,1;2;3,;;,,::::1,True,1950
kitten,1,사료;화장실 모래;장난감,1;2;3,;;,,::고양이 초보 반려생활 필수품::2,True,2361
kitten,2,사료;화장실 모래;장난감,1;2;3,;;,,::고양이 입양 기초 용품::2,True,2527
kitten,3,사료;화장실 모래;장난감,1;2;3,;;,,::고양이 입양 생활용품::2,True,2482
kitten,4,사료;화장실 모래;장난감,1;2;3,;;,,::고양이 입양 시 필요한 기본 물품::2,True,1835
kitten,5,사료;화장실 모래;장난감,1;2;3,;;,,::생활용품::2,True,2097
kitten,6,사료;화장실 모래;장난감,1;2;3,;;,,::가성비 좋은 생활용품::2,True,2290
kitten,7,사료;화장실 모래;장난감,1;2;3,;;,,::고양이 입양 시 필요한 물건::2,True,2907
moving,0,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,,True,2359
moving,1,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::가성비 좋은 생활용품::2,True,2310
moving,2,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::가성비 생활용품 추천::2,True,2475
moving,3,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::생활용품::2,True,1938
moving,4,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,,True,1818
moving,5,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::원룸 이사 준비 용품::2,True,2673
moving,6,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::원룸 이사 준비물::2,True,2029
moving,7,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::원룸 이사 준비 물품::2,True,2110
newborn,0,기저귀;젖병;딸랑이,1;2;3,;;,,::가성비 생활용품::2,True,2160
newborn,1,기저귀;젖병;딸랑이,1;2;3,;;,,::출산 준비 물품::1 | ::신생아 필수품::2,True,2690
newborn,2,기저귀;젖병;딸랑이,1;2;3,;;,,::::2,True,2075
newborn,3,기저귀;젖병;딸랑이,1;2;3,;;,2;3;3,::가족/육아용품::2 | ::출산/육아 준비 체크리스트::3 | ::생활용품 정리/정돈 아이템::3,False,38233
newborn,4,기저귀;젖병;딸랑이,1;2;3,;;,,::가성비 좋은 생활용품::2,True,2098
newborn,5,기저귀;젖병;딸랑이,1;2;3,;;,,::아기 출산 준비 생활용품::2 | 육아용품::출산 준비 필수 아이템::1,True,2576
