cellId,caseId,slice,sampleCount,attempts,failureCount,filled
buy-under-0001,buy-under-0001,constraint_budget_set,8,8,0,True
buy-under-0002,buy-under-0002,no_condition,8,8,0,True
buy-under-0003,buy-under-0003,constraint_price,8,8,0,True
buy-under-0004,buy-under-0004,what_axis,8,8,0,True
buy-under-0005,buy-under-0005,what_axis,8,8,0,True
buy-under-0006,buy-under-0006,multiturn_gate,8,8,0,True
buy-under-0007,buy-under-0007,blocking_rating,8,8,0,True
under-br-0001,under-br-0001,blocking_rating,8,8,0,True
under-br-0002,under-br-0002,blocking_rating,8,8,0,True
under-br-0003,under-br-0003,blocking_rating,8,8,0,True
under-br-0004,under-br-0004,blocking_rating,8,8,0,True
under-cbs-0001,under-cbs-0001,constraint_budget_set,8,8,0,True
under-cbs-0002,under-cbs-0002,constraint_budget_set,8,8,0,True
under-cbs-0003,under-cbs-0003,constraint_budget_set,8,8,0,True
under-cp-0001,under-cp-0001,constraint_price,8,8,0,True
under-cp-0002,under-cp-0002,constraint_price,8,8,0,True
under-cp-0003,under-cp-0003,constraint_price,8,8,0,True
under-cp-0004,under-cp-0004,constraint_price,8,8,0,True
under-mg-0001,under-mg-0001,multiturn_gate,8,8,0,True
under-mg-0002,under-mg-0002,multiturn_gate,8,8,0,True
under-nc-0001,under-nc-0001,no_condition,8,8,0,True
under-nc-0002,under-nc-0002,no_condition,8,8,0,True
under-nc-0003,under-nc-0003,no_condition,8,8,0,True
under-nc-0004,under-nc-0004,no_condition,8,8,0,True
under-wa-0001,under-wa-0001,what_axis,8,8,0,True
under-wa-0002,under-wa-0002,what_axis,8,8,0,True
under-wa-0003,under-wa-0003,what_axis,7,24,17,False
under-wa-0004,under-wa-0004,what_axis,6,24,18,False
under-wa-0005,under-wa-0005,what_axis,4,24,20,False
under-wa-0006,under-wa-0006,what_axis,0,24,24,False
