cellId,attempt,errorType,message
buy-under-0001,8,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197029, Requested 4109. Please try again in 341ms. Visit "
buy-under-0003,8,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196956, Requested 4106. Please try again in 318ms. Visit "
buy-under-0003,9,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 199551, Requested 4106. Please try again in 1.097s. Visit"
buy-under-0003,10,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197255, Requested 4106. Please try again in 408ms. Visit "
buy-under-0004,8,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196715, Requested 4101. Please try again in 244ms. Visit "
buy-under-0005,1,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197886, Requested 4102. Please try again in 596ms. Visit "
buy-under-0005,2,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196847, Requested 4102. Please try again in 284ms. Visit "
buy-under-0005,3,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 197531, Requested 4102. Please try again in 489ms. Visit "
buy-under-0005,4,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 4102. Please try again in 1.23s. Visit "
buy-under-0006,1,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 196684, Requested 4110. Please try again in 238ms. Visit "
buy-under-0006,3,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 200000, Requested 4110. Please try again in 1.233s. Visit"
under-cp-0001,7,LLMError,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-*** on tokens per min (TPM): Limit 200000, Used 198349, Requested 4107. Please try again in 736ms. Visit "
